experiment,ml_bot_name,features_added,num_of_games,bot_1_behaviour,bot_2_behaviour,model_class,opponent_bot,games_won,games_played,win_percentage
1,ml_bot,,10000,RandBot(5234243),RandBot(54354),NN,RandBot(464566),7183,10000,71.83
2,ml_bot,,10000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3522,10000,35.22
3,ml_bot,,10000,RandBot(5234243),"RdeepBot(num_samples=4, depth=4, rand=random.Random(68438))",NN,RandBot(464566),7074,10000,70.74
4,ml_bot,,10000,RandBot(5234243),"RdeepBot(num_samples=4, depth=4, rand=random.Random(68438))",NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3427,10000,34.27
5,ml_bot,,10000,"RdeepBot(num_samples=4, depth=4, rand=random.Random(4564654644))",RandBot(54354),NN,RandBot(464566),6952,10000,69.52
6,ml_bot,,10000,"RdeepBot(num_samples=4, depth=4, rand=random.Random(4564654644))",RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3296,10000,32.96
7,ml_bot,,10000,"RdeepBot(num_samples=4, depth=4, rand=random.Random(4564654644))","RdeepBot(num_samples=4, depth=4, rand=random.Random(68438))",NN,RandBot(464566),6435,10000,64.35
8,ml_bot,,10000,"RdeepBot(num_samples=4, depth=4, rand=random.Random(4564654644))","RdeepBot(num_samples=4, depth=4, rand=random.Random(68438))",NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3158,10000,31.58
9,okibot_1_0_01,unknown_trump_cards (int),10000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3431,10000,34.31
10,okibot_1_0_02,num_hand_cards (int),10000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3568,10000,35.68
11,okibot_1_0_03,"unknown_trump_cards (int), num_hand_cards (int)",10000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3481,10000,34.81
12,okibot_1_0_04,"seen_trump_cards (int), num_hand_cards (int)",10000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3522,10000,35.22
13,okibot_1_0_05,"unknown_trump_cards (int), seen_trump_cards (int)",10000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3364,10000,33.64
14,okibot_1_0_06,"unknown_trump_cards (int), seen_trump_cards (int), num_hand_cards (int)",10000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3431,10000,34.31
15,okibot_1_0_07,num_opp_known_cards (int),10000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3379,10000,33.79
16,okibot_1_0_08,num_opp_won_cards (int),10000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3266,10000,32.66
17,okibot_1_0_09,player_tot_points (int),10000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3468,10000,34.68
18,okibot_1_0_10,royal marriage move type (1-hot encoding),10000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3539,10000,35.39
19,okibot_1_0_11,"royal marriage move type (1-hot encoding), num_hand_cards (int)",10000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3459,10000,34.59
20,okibot_1_0_12,"royal marriage move type (1-hot encoding), player_tot_points (int), opponents_tot_points (int), num_hand_cards (int), num_opp_known_cards (int), num_opp_won_cards (int), unknown_trump_cards (int), seen_trump_cards (int)",10000,RandBot(5234243),RandBot(54354),LR,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3568,10000,35.68
21,okibot_1_0_12,"royal marriage move type (1-hot encoding), player_tot_points (int), opponents_tot_points (int), num_hand_cards (int), num_opp_known_cards (int), num_opp_won_cards (int), unknown_trump_cards (int), seen_trump_cards (int)",10000,RandBot(5234243),"RdeepBot(num_samples=4, depth=4, rand=random.Random(68438))",LR,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",1846,10000,18.46
22,okibot_1_0_12,"royal marriage move type (1-hot encoding), player_tot_points (int), opponents_tot_points (int), num_hand_cards (int), num_opp_known_cards (int), num_opp_won_cards (int), unknown_trump_cards (int), seen_trump_cards (int)",10000,"RdeepBot(num_samples=4, depth=4, rand=random.Random(4564654644))",RandBot(54354),LR,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",2398,10000,23.98
23,okibot_1_0_12,"royal marriage move type (1-hot encoding), player_tot_points (int), opponents_tot_points (int), num_hand_cards (int), num_opp_known_cards (int), num_opp_won_cards (int), unknown_trump_cards (int), seen_trump_cards (int)",10000,"RdeepBot(num_samples=4, depth=4, rand=random.Random(4564654644))","RdeepBot(num_samples=4, depth=4, rand=random.Random(68438))",LR,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",1342,10000,13.42
24,okibot_1_0_12,"royal marriage move type (1-hot encoding), player_tot_points (int), opponents_tot_points (int), num_hand_cards (int), num_opp_known_cards (int), num_opp_won_cards (int), unknown_trump_cards (int), seen_trump_cards (int)",100000,RandBot(5234243),RandBot(54354),LR,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3597,10000,35.97
25,okibot_1_0_12,"royal marriage move type (1-hot encoding), player_tot_points (int), opponents_tot_points (int), num_hand_cards (int), num_opp_known_cards (int), num_opp_won_cards (int), unknown_trump_cards (int), seen_trump_cards (int)",100000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",4013,10000,40.13
26,ml_bot,,100000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",3908,10000,39.08
27,okibot_1_0_13,"royal marriage move type (1-hot encoding), player_tot_points (int), opponents_tot_points (int), num_hand_cards (int), num_opp_known_cards (int), num_opp_won_cards (int), unknown_trump_cards (int), unknown aces (int), unknown tens (int), unknown kings (int), unknown queens (int), unknown jacks (int), seen_trump_cards (int), seen aces (int), seen tens (int), seen kings (int), seen queens (int), seen jacks (int)",100000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",4093,10000,40.93
28,okibot_1_0_14,"royal marriage move type (1-hot encoding), player_tot_points (int), opponents_tot_points (int), num_hand_cards (int), num_won_cards (int) num_opp_known_cards (int), num_opp_won_cards (int), unknown_trump_cards (int), unknown aces (int), unknown tens (int), unknown kings (int), unknown queens (int), unknown jacks (int), seen_trump_cards (int), seen aces (int), seen tens (int), seen kings (int), seen queens (int), seen jacks (int)",100000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",4086,10000,40.86
29,okibot_1_0_15,"royal marriage move type (1-hot encoding), player_tot_points (int), opponents_tot_points (int), diff_points (int), num_hand_cards (int), num_won_cards (int) num_opp_known_cards (int), num_opp_won_cards (int), unknown_trump_cards (int), unknown aces (int), unknown tens (int), unknown kings (int), unknown queens (int), unknown jacks (int), seen_trump_cards (int), seen aces (int), seen tens (int), seen kings (int), seen queens (int), seen jacks (int)",100000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",4098,10000,40.98
30,okibot_1_0_15,"royal marriage move type (1-hot encoding), player_tot_points (int), opponents_tot_points (int), diff_points (int), num_hand_cards (int), num_won_cards (int) num_opp_known_cards (int), num_opp_won_cards (int), unknown_trump_cards (int), unknown aces (int), unknown tens (int), unknown kings (int), unknown queens (int), unknown jacks (int), seen_trump_cards (int), seen aces (int), seen tens (int), seen kings (int), seen queens (int), seen jacks (int)",500000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",4327,10000,43.27
31,ml_bot,,500000,RandBot(5234243),RandBot(54354),NN,"RdeepBot(num_samples=4, depth=4, rand=random.Random(3589))",4287,10000,42.87
